"Year","ave", "yield", "accum"
"1916","9.34","5.62","17.81"
"1917","9.57","7.82","19.45"
"1918","7.22","7.24","16.07"
"1919","7.85","5.75","18.79"
"1920","8.82","6.13","22.37"
"1921","7.11","6.49","19.18"
"1922","7.29","5.80","20.96"
"1923","8.90","5.94","27.10"
"1924","8.84","5.87","28.58"
"1925","10.57","5.19","36.26"
"1926","12.65","5.32","45.61"
"1927","13.40","5.75","50.80"
"1928","17.53","4.85","69.38"
"1929","24.86","3.90","101.75"
"1930","21.71","4.51","92.83"
"1931","15.98","5.13","72.52"
"1932","8.30","6.02","41.39"
"1933","7.09","6.21","37.85"
"1934","10.54","4.27","58.61"
"1935","9.26","5.08","54.00"
"1936","13.76","5.23","82.98"
"1937","17.59","4.55","110.42"
"1938","11.31","4.51","76.02"
"1939","12.50","4.96","87.44"
"1940","12.30","5.45","90.38"
"1941","10.55","6.73","82.45"
"1942","8.93","6.61","75.33"
"1943","10.09","6.05","90.10"
"1944","11.85","5.40","111.26"
"1945","13.49","4.89","132.67"
"1946","18.02","3.94","183.71"
"1947","15.21","5.52","162.30"
"1948","14.83","6.27","167.21"
"1949","15.36","7.42","183.67"
"1950","16.88","8.71","215.48"
"1951","21.21","6.65","289.51"
"1952","24.19","5.83","349.44"
"1953","26.18","5.54","398.55"
"1954","25.46","6.05","409.67"
"1955","35.60","4.61","597.60"
"1956","44.15","3.94","768.66"
"1957","45.43","3.94","821.24"
"1958","41.12","4.26","775.68"
"1959","55.62","3.29","1,082.22"
"1960","58.03","3.36","1,164.72"
"1961","59.72","3.38","1,237.78"
"1962","69.07","3.08","1,473.44"
"1963","65.06","3.50","1,433.33"
"1964","76.45","3.27","1,734.50"
"1965","86.12","3.16","2,010.61"
"1966","93.32","3.08","2,242.21"
"1967","84.45","3.46","2,098.05"
"1968","95.04","3.23","2,433.68"
"1969","102.04","3.10","2,691.55"
"1970","90.33","3.48","2,466.02"
"1971","93.49","3.28","2,638.01"
"1972","103.30","3.05","3,001.45"
"1973","118.42","2.85","3,532.29"
"1974","96.11","3.75","2,967.64"
"1975","72.56","5.07","2,351.63"
"1976","96.86","4.18","3,258.45"
"1977","103.81","4.50","3,628.50"
"1978","90.25","5.62","3,317.76"
"1979","99.71","5.67","3,851.92"
"1980","110.87","5.56","4,501.31"
"1981","132.97","4.99","5,648.66"
"1982","117.28","5.86","5,263.78"
"1983","144.27","4.91","6,783.49"
"1984","166.39","4.53","8,156.93"
"1985","171.61","4.60","8,781.97"
"1986","208.19","3.98","11,058.19"
"1987","264.51","3.33","14,489.48"
"1988","250.48","3.88","14,203.54"
"1989","285.41","3.87","16,735.99"
"1990","339.97","3.56","20,583.26"
"1991","325.50","3.75","20,439.77"
"1992","416.08","2.98","26,893.84"
"1993","435.23","2.89","28,931.82"
"1994","472.99","2.79","32,278.16"
"1995","465.25","2.96","32,649.40"
"1996","614.42","2.43","44,085.29"
"1997","766.22","2.02","56,046.19"
"1998","963.36","1.68","71,600.03"
"1999","1,248.77","1.34","94,016.65"
"2000","1,425.59","1.14","108,585.52"
"2001","1,335.64","1.18","102,973.33"
"2002","1,140.21","1.41","89,119.90"
"2003","895.84","1.94","71,275.75"
"2004","1,132.52","1.72","91,490.14"
"2005","1,181.41","1.88","97,010.20"
"2006","1,278.73","1.95","106,826.07"
"2007","1,424.16","1.95","121,054.22"
"2008","1,378.76","2.06","119,552.50"
"2009","865.58","2.59","77,515.68"
"2010","1,123.58","2.02","102,627.90"
"2011","1,282.62","2.06","119,230.65"
"2012","1,300.58","2.40","123,357.04"
"2013","1,480.40","2.36","143,376.03"
"2014","1,822.36","2.16","179,883.91"
"2015","2,028.18","2.14","204,093.88"
